data,soreu,totale,soccorso_primario,soccorso_secondario,informazione,consulenza,trasporto_organi,altro
2026-07-14,ALPI,755,682,6,26,25,,16
2026-07-14,LAGHI,820,776,2,23,6,,13
2026-07-14,METROPOLITANA,1058,928,10,50,23,12,33
2026-07-14,PIANURA,858,807,2,30,7,,12
2026-08-01,ALPI,821,695,8,55,31,,32
2026-08-01,LAGHI,975,842,4,64,42,,23
2026-08-01,METROPOLITANA,1074,876,9,89,42,8,50
2026-08-01,PIANURA,964,852,2,57,33,,20
2026-08-02,ALPI,890,723,10,59,49,,49
2026-08-02,LAGHI,774,688,0,47,22,,17
2026-08-02,METROPOLITANA,1014,871,5,61,41,4,32
2026-08-02,PIANURA,811,717,4,36,36,,18
2026-08-03,ALPI,861,754,3,40,22,,41
2026-08-03,LAGHI,905,823,2,44,10,,26
2026-08-03,METROPOLITANA,1000,855,9,58,34,5,35
2026-08-03,PIANURA,881,804,9,40,13,,15
2026-08-04,ALPI,913,791,5,47,38,,32
2026-08-04,LAGHI,903,818,3,45,17,,20
2026-08-04,METROPOLITANA,1013,852,8,66,22,30,30
2026-08-04,PIANURA,922,853,4,31,16,,18
2026-08-05,ALPI,852,735,7,45,43,,21
2026-08-05,LAGHI,869,771,4,54,10,,30
2026-08-05,METROPOLITANA,1054,878,4,67,25,24,42
2026-08-05,PIANURA,862,773,3,46,19,,21
2026-08-06,ALPI,812,714,9,46,21,,22
2026-08-06,LAGHI,869,790,1,40,21,,17
2026-08-06,METROPOLITANA,1051,892,6,65,31,16,37
2026-08-06,PIANURA,881,797,2,46,14,,22
2026-08-07,ALPI,839,747,5,36,26,,25
2026-08-07,LAGHI,853,786,2,31,17,,17
2026-08-07,METROPOLITANA,939,826,9,56,15,8,22
2026-08-07,PIANURA,853,778,3,31,26,,15
2026-08-08,ALPI,846,729,7,37,38,,35
2026-08-08,LAGHI,856,770,3,38,32,,13
2026-08-08,METROPOLITANA,903,778,4,45,48,2,25
2026-08-08,PIANURA,900,810,8,31,32,,19
