data,aat,soreu,totale,codice_rosso,codice_giallo,codice_verde,codice_bianco,msb,msa1,msa2,elisoccorso,soccorso_alpino,soccorso_acqua
2026-07-14,BERGAMO,ALPI,302,79,167,56,0,254,20,25,3,0,0
2026-07-14,BRESCIA,ALPI,385,111,216,58,0,317,39,24,4,1,0
2026-07-14,COMO,LAGHI,166,22,114,30,0,145,11,8,1,1,0
2026-07-14,CREMONA,PIANURA,122,18,75,29,0,110,1,11,0,0,0
2026-07-14,LECCO,LAGHI,113,16,76,21,0,100,6,7,0,0,0
2026-07-14,LODI,PIANURA,73,14,42,17,0,64,1,6,1,0,0
2026-07-14,MANTOVA,PIANURA,117,17,73,27,0,105,7,5,0,0,0
2026-07-14,MILANO,METROPOLITANA,1126,96,687,343,0,1065,8,50,1,0,0
2026-07-14,MONZA,METROPOLITANA,210,37,134,39,0,190,3,15,0,0,0
2026-07-14,PAVIA,PIANURA,204,33,119,52,0,190,0,13,1,0,0
2026-07-14,SONDRIO,ALPI,57,14,32,11,0,42,8,4,2,1,0
2026-07-14,VARESE,LAGHI,257,33,173,51,0,233,12,11,1,0,0
2026-08-01,BERGAMO,ALPI,314,67,185,64,0,260,18,26,6,1,0
2026-08-01,BRESCIA,ALPI,393,86,245,62,0,309,29,33,10,2,0
2026-08-01,COMO,LAGHI,177,18,120,39,0,159,6,8,1,1,0
2026-08-01,CREMONA,PIANURA,101,11,65,25,0,93,0,7,0,0,0
2026-08-01,LECCO,LAGHI,133,19,94,20,0,106,5,12,4,5,0
2026-08-01,LODI,PIANURA,80,7,53,20,0,74,2,4,0,0,0
2026-08-01,MANTOVA,PIANURA,118,19,72,27,0,107,5,4,0,0,0
2026-08-01,MILANO,METROPOLITANA,1093,126,676,291,0,1032,15,42,0,0,0
2026-08-01,MONZA,METROPOLITANA,218,34,138,46,0,206,0,12,0,0,0
2026-08-01,PAVIA,PIANURA,236,54,133,49,0,209,8,15,1,0,0
2026-08-01,SONDRIO,ALPI,65,9,42,14,0,45,10,4,3,2,0
2026-08-01,VARESE,LAGHI,253,44,178,31,0,227,7,16,3,0,0
2026-08-02,BERGAMO,ALPI,331,65,210,56,0,280,15,23,8,3,0
2026-08-02,BRESCIA,ALPI,400,100,230,70,0,304,44,21,14,3,0
2026-08-02,COMO,LAGHI,149,30,97,22,0,131,9,9,0,0,0
2026-08-02,CREMONA,PIANURA,105,13,69,23,0,95,1,6,1,0,0
2026-08-02,LECCO,LAGHI,83,13,56,14,0,69,3,5,4,2,0
2026-08-02,LODI,PIANURA,79,8,46,24,0,71,0,7,0,0,0
2026-08-02,MANTOVA,PIANURA,118,8,85,25,0,107,5,6,0,0,0
2026-08-02,MILANO,METROPOLITANA,991,71,593,327,0,944,12,28,0,0,0
2026-08-02,MONZA,METROPOLITANA,171,26,112,33,0,160,0,11,0,0,0
2026-08-02,PAVIA,PIANURA,191,21,121,49,0,181,3,5,2,0,0
2026-08-02,SONDRIO,ALPI,70,18,35,17,0,48,11,6,2,2,0
2026-08-02,VARESE,LAGHI,233,35,145,53,0,213,7,11,1,0,0
2026-08-03,BERGAMO,ALPI,355,89,200,66,1,302,18,27,8,1,0
2026-08-03,BRESCIA,ALPI,392,86,220,86,0,333,21,29,7,0,0
2026-08-03,COMO,LAGHI,189,31,123,35,0,167,8,10,2,1,0
2026-08-03,CREMONA,PIANURA,110,17,66,27,0,102,0,7,1,0,0
2026-08-03,LECCO,LAGHI,97,18,70,9,0,88,4,5,0,0,0
2026-08-03,LODI,PIANURA,77,15,48,14,0,69,3,5,0,0,0
2026-08-03,MANTOVA,PIANURA,109,16,69,24,0,101,5,3,0,0,0
2026-08-03,MILANO,METROPOLITANA,1078,98,655,325,0,1028,8,38,0,0,0
2026-08-03,MONZA,METROPOLITANA,229,28,149,52,0,211,1,13,0,0,0
2026-08-03,PAVIA,PIANURA,202,28,131,43,0,186,5,9,2,0,0
2026-08-03,SONDRIO,ALPI,78,16,47,13,1,49,15,4,7,3,0
2026-08-03,VARESE,LAGHI,274,28,199,47,0,259,5,9,1,0,0
2026-08-04,BERGAMO,ALPI,331,69,183,79,0,291,19,18,2,1,0
2026-08-04,BRESCIA,ALPI,424,93,233,97,1,351,39,24,7,3,0
2026-08-04,COMO,LAGHI,164,27,101,36,0,148,5,7,2,1,0
2026-08-04,CREMONA,PIANURA,121,20,76,25,0,101,6,12,2,0,0
2026-08-04,LECCO,LAGHI,103,11,70,22,0,93,3,5,1,1,0
2026-08-04,LODI,PIANURA,95,6,71,18,0,86,2,6,0,0,0
2026-08-04,MANTOVA,PIANURA,140,21,80,39,0,124,7,9,0,0,0
2026-08-04,MILANO,METROPOLITANA,1068,107,611,350,0,1001,18,40,3,0,0
2026-08-04,MONZA,METROPOLITANA,260,32,171,57,0,241,5,11,0,0,0
2026-08-04,PAVIA,PIANURA,223,32,141,50,0,206,5,8,3,0,0
2026-08-04,SONDRIO,ALPI,76,18,41,16,0,39,14,6,6,11,0
2026-08-04,VARESE,LAGHI,230,26,151,53,0,220,1,9,0,0,0
2026-08-05,BERGAMO,ALPI,301,82,158,61,0,253,13,32,3,0,0
2026-08-05,BRESCIA,ALPI,401,92,225,83,1,338,33,26,1,1,0
2026-08-05,COMO,LAGHI,171,35,110,26,0,150,10,8,1,1,0
2026-08-05,CREMONA,PIANURA,95,12,70,13,0,89,2,3,1,0,0
2026-08-05,LECCO,LAGHI,116,12,90,14,0,99,6,5,3,2,0
2026-08-05,LODI,PIANURA,111,15,73,23,0,98,1,12,0,0,0
2026-08-05,MANTOVA,PIANURA,132,10,99,23,0,120,4,8,0,0,0
2026-08-05,MILANO,METROPOLITANA,1047,85,640,322,0,983,10,47,2,0,0
2026-08-05,MONZA,METROPOLITANA,238,36,159,43,0,215,3,19,0,0,0
2026-08-05,PAVIA,PIANURA,194,19,126,49,0,177,4,13,0,0,0
2026-08-05,SONDRIO,ALPI,78,14,46,18,0,50,9,6,8,5,0
2026-08-05,VARESE,LAGHI,246,39,161,46,0,224,5,16,0,0,0
2026-08-06,BERGAMO,ALPI,333,93,169,71,0,271,20,34,7,1,0
2026-08-06,BRESCIA,ALPI,430,111,247,72,0,347,38,35,8,1,0
2026-08-06,COMO,LAGHI,209,44,139,26,0,181,13,14,1,0,0
2026-08-06,CREMONA,PIANURA,114,8,80,26,0,104,1,9,0,0,0
2026-08-06,LECCO,LAGHI,104,19,70,15,0,88,4,11,0,1,0
2026-08-06,LODI,PIANURA,94,14,65,15,0,84,1,8,0,0,0
2026-08-06,MANTOVA,PIANURA,123,12,85,26,0,108,4,9,2,0,0
2026-08-06,MILANO,METROPOLITANA,1094,128,658,308,0,1025,13,46,2,0,0
2026-08-06,MONZA,METROPOLITANA,195,25,122,48,0,175,1,14,0,0,0
2026-08-06,PAVIA,PIANURA,217,35,124,58,0,196,4,16,1,0,0
2026-08-06,SONDRIO,ALPI,54,15,29,10,0,34,12,7,1,0,0
2026-08-06,VARESE,LAGHI,249,45,160,44,0,219,6,23,1,0,0
2026-08-07,BERGAMO,ALPI,369,95,200,74,0,302,19,40,7,0,0
2026-08-07,BRESCIA,ALPI,368,71,209,88,0,315,23,25,4,1,0
2026-08-07,COMO,LAGHI,188,32,121,35,0,167,9,11,1,0,0
2026-08-07,CREMONA,PIANURA,118,21,68,29,0,107,4,7,0,0,0
2026-08-07,LECCO,LAGHI,101,9,70,21,0,89,3,5,3,1,0
2026-08-07,LODI,PIANURA,60,3,42,15,0,55,2,2,0,0,0
2026-08-07,MANTOVA,PIANURA,109,15,66,28,0,96,6,6,1,0,0
2026-08-07,MILANO,METROPOLITANA,1076,95,703,278,0,1013,8,46,0,0,0
2026-08-07,MONZA,METROPOLITANA,213,26,143,44,0,194,2,11,0,0,0
2026-08-07,PAVIA,PIANURA,190,21,115,54,0,180,0,8,2,0,0
2026-08-07,SONDRIO,ALPI,43,11,26,6,0,32,8,2,1,0,0
2026-08-07,VARESE,LAGHI,255,29,175,51,0,238,4,13,0,0,0
2026-08-08,BERGAMO,ALPI,363,69,215,78,0,304,22,26,8,2,0
2026-08-08,BRESCIA,ALPI,346,59,209,78,0,286,28,16,4,2,0
2026-08-08,COMO,LAGHI,158,24,109,25,0,140,7,6,3,1,0
2026-08-08,CREMONA,PIANURA,96,12,62,22,0,87,1,8,0,0,0
2026-08-08,LECCO,LAGHI,98,5,70,23,0,90,3,4,0,0,0
2026-08-08,LODI,PIANURA,94,16,60,18,0,85,1,8,0,0,0
2026-08-08,MANTOVA,PIANURA,143,30,79,34,0,122,8,7,5,0,0
2026-08-08,MILANO,METROPOLITANA,983,87,604,292,0,930,14,36,1,0,0
2026-08-08,MONZA,METROPOLITANA,211,23,142,46,0,200,2,9,0,0,0
2026-08-08,PAVIA,PIANURA,201,32,130,39,0,176,3,17,5,0,0
2026-08-08,SONDRIO,ALPI,87,23,48,16,0,50,16,7,8,5,0
2026-08-08,VARESE,LAGHI,219,22,150,47,0,205,6,8,0,0,0
2026-08-09,BERGAMO,ALPI,369,96,212,61,0,296,31,32,5,3,0
2026-08-09,BRESCIA,ALPI,428,117,219,90,1,320,42,32,8,10,0
2026-08-09,COMO,LAGHI,181,17,132,32,0,161,6,12,1,0,0
2026-08-09,CREMONA,PIANURA,124,12,81,31,0,112,2,10,0,0,0
2026-08-09,LECCO,LAGHI,123,30,72,21,0,101,6,13,1,2,0
2026-08-09,LODI,PIANURA,76,6,51,19,0,73,0,2,0,0,0
2026-08-09,MANTOVA,PIANURA,127,8,94,25,0,116,1,10,0,0,0
2026-08-09,MILANO,METROPOLITANA,931,81,551,299,0,895,6,28,1,0,0
2026-08-09,MONZA,METROPOLITANA,208,29,131,49,0,195,3,11,0,0,0
2026-08-09,PAVIA,PIANURA,181,25,124,32,0,167,4,9,1,0,0
2026-08-09,SONDRIO,ALPI,84,15,50,18,1,49,15,4,10,4,0
2026-08-09,VARESE,LAGHI,220,27,150,43,0,194,8,16,0,0,0
2026-08-10,BERGAMO,ALPI,358,101,195,62,0,296,23,30,4,5,0
2026-08-10,BRESCIA,ALPI,362,92,181,89,0,291,25,32,11,1,0
2026-08-10,COMO,LAGHI,183,24,118,41,0,162,9,10,1,1,0
2026-08-10,CREMONA,PIANURA,93,8,59,26,0,87,2,3,0,0,0
2026-08-10,LECCO,LAGHI,115,12,80,23,0,101,4,9,1,0,0
2026-08-10,LODI,PIANURA,71,5,47,19,0,64,2,4,0,0,0
2026-08-10,MANTOVA,PIANURA,112,13,69,29,0,102,5,5,0,0,0
2026-08-10,MILANO,METROPOLITANA,982,93,591,298,0,943,7,31,0,0,0
2026-08-10,MONZA,METROPOLITANA,200,23,124,53,0,187,2,9,0,0,0
2026-08-10,PAVIA,PIANURA,207,29,129,49,0,182,4,18,3,0,0
2026-08-10,SONDRIO,ALPI,80,20,45,15,0,51,16,3,7,3,0
2026-08-10,VARESE,LAGHI,230,28,151,51,0,215,5,10,0,0,0
2026-08-11,BERGAMO,ALPI,302,76,157,69,0,256,14,25,4,1,0
2026-08-11,BRESCIA,ALPI,361,80,208,73,0,298,28,24,7,2,0
2026-08-11,COMO,LAGHI,166,16,116,34,0,151,5,7,2,1,0
2026-08-11,CREMONA,PIANURA,97,12,66,19,0,89,0,6,2,0,0
2026-08-11,LECCO,LAGHI,89,15,49,25,0,78,4,6,1,0,0
2026-08-11,LODI,PIANURA,50,1,42,7,0,46,1,3,0,0,0
2026-08-11,MANTOVA,PIANURA,118,23,76,19,0,102,7,8,1,0,0
2026-08-11,MILANO,METROPOLITANA,961,84,630,247,0,907,13,39,1,0,0
2026-08-11,MONZA,METROPOLITANA,204,29,117,58,0,188,3,11,0,0,0
2026-08-11,PAVIA,PIANURA,204,41,129,34,0,184,7,11,2,0,0
2026-08-11,SONDRIO,ALPI,74,12,47,14,0,44,13,5,6,5,0
2026-08-11,VARESE,LAGHI,225,27,158,39,1,210,6,9,0,0,0
2026-08-12,BERGAMO,ALPI,316,76,169,70,1,262,14,28,5,5,0
2026-08-12,BRESCIA,ALPI,371,65,236,70,0,296,43,22,7,2,0
2026-08-12,COMO,LAGHI,196,24,136,36,0,177,9,6,2,2,0
2026-08-12,CREMONA,PIANURA,94,6,65,23,0,86,2,5,0,0,0
2026-08-12,LECCO,LAGHI,87,18,53,16,0,75,3,8,0,1,0
2026-08-12,LODI,PIANURA,70,10,43,17,0,63,2,5,0,0,0
2026-08-12,MANTOVA,PIANURA,119,15,89,15,0,108,3,7,0,0,0
