data,aat,soreu,totale,medico_acuto,caduta,incidente_stradale,infortunio,evento_violento,intossicazione,animali,calamita_naturale,evento_massa,incidente_acqua,incidente_montano,incidente_speleo,soccorso_persona,altro_non_noto,altri_motivi
2026-07-14,BERGAMO,ALPI,266,179,40,16,5,6,6,2,0,0,0,0,0,5,7,0
2026-07-14,BRESCIA,ALPI,336,196,55,31,7,16,4,7,0,0,1,0,0,6,13,0
2026-07-14,COMO,LAGHI,153,107,18,8,6,1,6,0,0,0,1,0,0,2,4,0
2026-07-14,CREMONA,PIANURA,122,80,11,10,3,11,4,1,0,0,0,0,0,1,1,0
2026-07-14,LECCO,LAGHI,98,75,12,2,1,2,1,1,0,0,0,0,0,2,2,0
2026-07-14,LODI,PIANURA,67,45,9,3,2,3,0,1,0,0,0,0,0,2,2,0
2026-07-14,MANTOVA,PIANURA,111,82,14,5,2,2,2,2,0,0,0,0,0,1,1,0
2026-07-14,MILANO,METROPOLITANA,1156,748,150,70,28,42,45,5,0,0,0,0,0,21,47,0
2026-07-14,MONZA,METROPOLITANA,198,126,32,8,9,4,6,1,0,0,0,0,0,4,8,0
2026-07-14,PAVIA,PIANURA,196,157,17,10,2,3,3,2,0,0,0,0,0,0,2,0
2026-07-14,SONDRIO,ALPI,59,36,9,5,3,1,0,0,0,0,0,0,0,0,5,0
2026-07-14,VARESE,LAGHI,223,150,32,10,4,9,3,3,0,0,0,0,0,2,10,0
2026-08-01,BERGAMO,ALPI,286,164,45,23,4,13,19,2,0,0,3,0,0,3,10,0
2026-08-01,BRESCIA,ALPI,319,188,48,25,15,17,8,2,0,0,1,0,0,3,12,0
2026-08-01,COMO,LAGHI,173,91,32,15,4,7,5,3,0,0,0,0,0,5,10,1
2026-08-01,CREMONA,PIANURA,98,66,18,4,4,4,1,0,0,0,0,0,0,1,0,0
2026-08-01,LECCO,LAGHI,115,73,10,17,1,4,0,0,0,0,0,4,0,1,3,2
2026-08-01,LODI,PIANURA,79,59,7,1,2,0,4,0,0,0,0,0,0,3,3,0
2026-08-01,MANTOVA,PIANURA,111,72,16,10,5,2,4,0,0,0,0,0,0,0,2,0
2026-08-01,MILANO,METROPOLITANA,1127,747,134,55,16,66,49,6,0,0,0,0,0,22,31,1
2026-08-01,MONZA,METROPOLITANA,203,126,27,12,3,19,8,1,0,0,0,0,0,4,3,0
2026-08-01,PAVIA,PIANURA,216,145,25,20,4,6,5,2,0,0,1,0,0,1,7,0
2026-08-01,SONDRIO,ALPI,60,32,12,8,4,0,2,0,0,0,0,0,1,1,0,0
2026-08-01,VARESE,LAGHI,239,146,30,19,5,11,12,1,0,0,0,0,0,4,11,0
2026-08-02,BERGAMO,ALPI,295,176,43,18,8,11,17,2,0,0,0,1,0,5,14,0
2026-08-02,BRESCIA,ALPI,328,180,51,36,6,17,12,2,0,0,3,2,0,4,15,0
2026-08-02,COMO,LAGHI,138,98,18,9,1,2,5,0,0,0,0,0,0,1,4,0
2026-08-02,CREMONA,PIANURA,106,72,14,7,2,2,7,0,0,0,0,0,0,2,0,0
2026-08-02,LECCO,LAGHI,76,48,10,3,5,2,2,1,0,0,2,0,0,1,2,0
2026-08-02,LODI,PIANURA,72,48,7,0,4,7,3,0,0,0,0,0,0,0,3,0
2026-08-02,MANTOVA,PIANURA,117,78,20,6,2,3,4,0,0,0,0,0,0,0,4,0
2026-08-02,MILANO,METROPOLITANA,1023,662,127,56,23,62,36,2,0,1,0,0,0,19,35,0
2026-08-02,MONZA,METROPOLITANA,172,107,19,15,4,4,7,1,0,0,0,0,0,6,9,0
2026-08-02,PAVIA,PIANURA,177,133,19,7,2,4,4,0,0,0,0,0,0,1,7,0
2026-08-02,SONDRIO,ALPI,61,37,9,5,5,0,2,0,0,0,0,0,0,0,0,3
2026-08-02,VARESE,LAGHI,225,163,22,11,5,8,10,0,0,0,0,0,0,0,6,0
2026-08-03,BERGAMO,ALPI,309,197,47,21,8,6,11,4,0,0,0,1,0,5,8,1
2026-08-03,BRESCIA,ALPI,356,237,57,20,9,4,6,3,0,0,0,0,0,5,15,0
2026-08-03,COMO,LAGHI,171,111,30,9,3,3,5,2,0,0,0,0,0,4,4,0
2026-08-03,CREMONA,PIANURA,112,80,15,8,2,3,0,0,0,0,0,0,0,2,2,0
2026-08-03,LECCO,LAGHI,92,55,14,10,2,4,2,0,0,0,0,0,0,1,4,0
2026-08-03,LODI,PIANURA,79,50,16,4,2,0,1,0,0,0,0,0,0,2,4,0
2026-08-03,MANTOVA,PIANURA,107,69,21,8,1,2,3,0,0,0,0,0,0,1,2,0
2026-08-03,MILANO,METROPOLITANA,1080,773,124,45,23,38,25,1,0,0,0,0,0,16,35,0
2026-08-03,MONZA,METROPOLITANA,217,158,30,11,2,5,1,1,0,0,0,0,0,1,7,1
2026-08-03,PAVIA,PIANURA,200,150,28,10,2,1,2,1,0,0,0,0,0,2,4,0
2026-08-03,SONDRIO,ALPI,58,27,12,9,4,0,0,1,0,0,0,2,0,0,2,1
2026-08-03,VARESE,LAGHI,270,187,38,13,5,11,7,4,0,0,0,0,0,3,2,0
2026-08-04,BERGAMO,ALPI,313,198,45,24,10,7,7,3,0,0,0,0,0,5,14,0
2026-08-04,BRESCIA,ALPI,384,234,46,34,13,20,10,4,0,0,0,0,0,3,20,0
2026-08-04,COMO,LAGHI,155,103,19,6,3,1,8,6,0,0,2,0,0,3,4,0
2026-08-04,CREMONA,PIANURA,108,66,22,10,1,2,3,0,0,0,0,0,0,1,3,0
2026-08-04,LECCO,LAGHI,101,67,17,7,1,2,3,1,0,0,0,0,0,1,2,0
2026-08-04,LODI,PIANURA,90,57,16,3,3,4,3,0,0,0,0,0,0,2,2,0
2026-08-04,MANTOVA,PIANURA,129,101,10,5,3,3,2,0,0,0,0,0,0,0,5,0
2026-08-04,MILANO,METROPOLITANA,1088,725,118,68,38,49,39,2,0,0,0,0,0,16,33,0
2026-08-04,MONZA,METROPOLITANA,244,168,30,12,7,10,6,0,0,0,0,0,0,3,8,0
2026-08-04,PAVIA,PIANURA,211,144,27,11,8,6,6,0,0,0,0,0,0,2,7,0
2026-08-04,SONDRIO,ALPI,55,26,14,5,3,1,1,0,0,0,0,0,0,0,4,1
2026-08-04,VARESE,LAGHI,222,141,35,11,3,10,7,1,0,0,0,0,0,3,10,1
2026-08-05,BERGAMO,ALPI,266,167,40,25,8,3,9,0,0,0,0,0,0,5,9,0
2026-08-05,BRESCIA,ALPI,371,231,64,29,12,8,6,1,0,0,0,0,0,2,18,0
2026-08-05,COMO,LAGHI,142,83,29,7,5,3,8,1,0,0,1,0,0,0,5,0
2026-08-05,CREMONA,PIANURA,94,57,18,8,3,2,1,0,0,0,0,0,0,2,3,0
2026-08-05,LECCO,LAGHI,109,61,20,9,2,3,3,1,0,0,0,2,0,2,6,0
2026-08-05,LODI,PIANURA,99,68,13,6,3,2,1,0,0,0,0,0,0,2,4,0
2026-08-05,MANTOVA,PIANURA,133,82,18,19,4,4,0,0,0,0,0,0,0,2,3,1
2026-08-05,MILANO,METROPOLITANA,1042,733,131,39,21,43,33,3,0,0,0,0,0,13,26,0
2026-08-05,MONZA,METROPOLITANA,220,148,24,18,6,7,8,0,0,0,0,0,0,4,5,0
2026-08-05,PAVIA,PIANURA,178,135,19,6,3,9,1,1,0,0,0,0,0,1,3,0
2026-08-05,SONDRIO,ALPI,70,43,15,5,2,2,0,1,0,0,0,0,0,1,1,0
2026-08-05,VARESE,LAGHI,222,135,42,12,4,6,5,2,0,1,1,0,0,6,8,0
2026-08-06,BERGAMO,ALPI,279,187,43,14,8,12,5,0,0,0,0,0,0,2,8,0
2026-08-06,BRESCIA,ALPI,355,221,56,27,8,13,7,0,0,0,0,0,0,4,19,0
2026-08-06,COMO,LAGHI,178,118,28,12,2,4,6,0,0,0,1,0,0,1,6,0
2026-08-06,CREMONA,PIANURA,108,79,14,7,2,5,0,0,0,0,0,0,0,1,0,0
2026-08-06,LECCO,LAGHI,88,55,15,4,0,3,4,2,0,0,0,0,0,1,4,0
2026-08-06,LODI,PIANURA,78,53,13,5,4,1,1,0,0,0,0,0,0,0,1,0
2026-08-06,MANTOVA,PIANURA,112,82,21,6,1,1,0,1,0,0,0,0,0,0,0,0
2026-08-06,MILANO,METROPOLITANA,1080,733,140,53,28,49,23,1,0,0,0,0,0,21,32,0
2026-08-06,MONZA,METROPOLITANA,184,123,30,10,2,5,6,0,0,0,0,0,0,3,4,1
2026-08-06,PAVIA,PIANURA,205,138,29,9,6,6,5,0,0,0,0,0,0,4,8,0
2026-08-06,SONDRIO,ALPI,44,27,5,9,2,0,1,0,0,0,0,0,0,0,0,0
2026-08-06,VARESE,LAGHI,241,148,37,24,4,7,12,1,0,0,0,0,0,1,7,0
2026-08-07,BERGAMO,ALPI,312,201,46,30,5,7,9,0,0,0,0,0,0,3,11,0
2026-08-07,BRESCIA,ALPI,357,232,41,15,18,20,17,0,0,0,0,0,0,4,10,0
2026-08-07,COMO,LAGHI,168,106,23,14,5,5,8,1,0,0,0,0,0,2,4,0
2026-08-07,CREMONA,PIANURA,110,73,14,7,2,5,2,0,0,0,0,0,0,0,7,0
2026-08-07,LECCO,LAGHI,94,60,20,6,1,1,3,0,0,0,0,0,0,1,2,0
2026-08-07,LODI,PIANURA,57,42,5,3,1,3,0,0,0,0,0,0,0,1,2,0
2026-08-07,MANTOVA,PIANURA,100,77,10,7,1,2,0,0,0,0,0,0,0,0,3,0
2026-08-07,MILANO,METROPOLITANA,1071,705,128,68,24,38,40,5,0,0,0,0,0,23,39,1
